title;type;start;end;row;tooltip;class
1934;date;1934;;;;
1935;date;1935;;;;
1936;date;1936;;;;
1937;date;1937;;;;
1938;date;1938;;;;
1939;date;1939;;;;
1940;date;1940;;;;
1941;date;1941;;;;
1942;date;1942;;;;
1943;date;1943;;;;
1944;date;1944;;;;
1945;date;1945;;;;
1946;date;1946;;;;
1947;date;1947;;;;
1948;date;1948;;;;
1949;date;1949;;;;
1950;date;1950;;;;
1951;date;1951;;;;
1952;date;1952;;;;
1953;date;1953;;;;
1954;date;1954;;;;
1955;date;1955;;;;
1956;date;1956;;;;
1957;date;1957;;;;
1958;date;1958;;;;
1959;date;1959;;;;
1960;date;1960;;;;
1962;date;1962;;;;
1965;date;1965;;;;
1966;date;1966;;;;
1967;date;1967;;;;
1968;date;1968;;;;
1969;date;1969;;;;
1970;date;1970;;;;
1971;date;1971;;;;
1972;date;1972;;;;
1973;date;1973;;;;
1974;date;1974;;;;
1975;date;1975;;;;
1976;date;1976;;;;
1978;date;1978;;;;
1979;date;1979;;;;
1980;date;1980;;;;
1981;date;1981;;;;
1983;date;1983;;;;
1985;date;1985;;;;
1986;date;1986;;;;
1987;date;1987;;;;
1989;date;1989;;;;
1990;date;1990;;;;
1991;date;1991;;;;
1993;date;1993;;;;
1994;date;1994;;;;
1998;date;1998;;;;
2000;date;2000;;;;
2001;date;2001;;;;
2002;date;2002;;;;
2003;date;2003;;;;
2005;date;2005;;;;
2006;date;2006;;;;
2008;date;2008;;;;
2011;date;2011;;;;
2015;date;2015;;;;
2016;date;2016;;;;
2017;date;2017;;;;
2019;date;2019;;;;
2020;date;2020;;;;
2021;date;2021;;;;
2022;date;2022;;;;
2024;date;2024;;;;
2025;date;2025;;;;
Préhistoire;period;-26M;-3300;rowP1;"-2,6M => -3300";periode1 full carre
Histoire;period;-3300;2025;rowP1;"-3300 => 2025";periode2 full carre
Paléolithique;period;-26M;-11700;rowP2;-2,6M => -11 700;epoque1 full carre
Mésolithique;period;-11700;-6400;rowP2;-11 700 => -6400;epoque2 full carre
Néolithique;period;-6400;-3300;rowP2;-6400 => -3300;epoque1 full carre
Antiquité;period;-3300;476;rowP2;"-3300 => 476";epoque2 full carre
Moyen-Âge;period;476;1492;rowP2;"476 => 1492";epoque1 full carre
Temps Modernes;period;1492;1789;rowP2;1492 => 1789;epoque2 full carre
